position	rank	score	title	year	genre	mpaa	imdb
1806	1134	82.80000038	tom thumb	1958	Fantasy	G	http://www.imdb.com/title/tt0052427/
1807		82.80000024	The Mouse on the Moon (British)	1963	Comedy	N/A	http://www.imdb.com/title/tt0057328/
1808	1135	82.80000023	Freud	1962	Biography	N/A	http://www.imdb.com/title/tt0055998/
1809	1136	82.80000021	Tom, Dick and Harry	1941	Comedy	N/A	http://www.imdb.com/title/tt0034299/
1810	1137	82.80000017	The Landlord	1970	Comedy-Drama	PG	http://www.imdb.com/title/tt0065963/
1811	1138	82.80000017	Smithereens	1982	Drama	R	http://www.imdb.com/title/tt0084698/
1812		82.80000016	Quackser Fortune Has a Cousin in the Bronx (Irish)	1970	Comedy-Drama	PG	http://www.imdb.com/title/tt0066266/
1813	1139	82.80000013	The Cross of Lorraine	1943	War Drama	N/A	http://www.imdb.com/title/tt0035769/
1814	1140	82.80000013	The Little Minister	1934	Drama	N/A	http://www.imdb.com/title/tt0025409/
1815	1141	82.80000012	The Great Man Votes	1939	Drama	N/A	http://www.imdb.com/title/tt0031392/
1816		82.8000001	Le Crabe Tambour (French)	1977	Drama	N/A	http://www.imdb.com/title/tt0075885/
1817		82.80000007	On My Own (Italian-Canadian-Australian)	1992	Drama	N/A	http://www.imdb.com/title/tt0289830/
1818		82.80000006	A Day in the Death of Joe Egg (British)	1972	Comedy	R	http://www.imdb.com/title/tt0068450/
1819	1142	82.80000006	Tevye	1939	Drama	N/A	http://www.imdb.com/title/tt0032012/
1820		82.80000004	Stir (Australian)	1980	Crime Drama	N/A	http://www.imdb.com/title/tt0081561/
1821	1143	82.80000004	Cousin Bobby	1991	Documentary	N/A	http://www.imdb.com/title/tt0104018/
1822	1144	82.80000002	Dusty and Sweets McGee	1971	Crime Drama	R	http://www.imdb.com/title/tt0067029/
1823	1145	82.6000026	Henry & June	1990	Biographical	NC-17	http://www.imdb.com/title/tt0099762/
1824	1146	82.60000167	Agnes of God	1985	Mystery	PG-13	http://www.imdb.com/title/tt0088683/
1825	1147	82.60000059	The King of Marvin Gardens	1972	Drama	R	http://www.imdb.com/title/tt0068805/
1826	1148	82.60000049	I Love You, Alice B. Toklas	1968	Comedy	R	http://www.imdb.com/title/tt0063115/
1827	1149	82.60000037	You're a Big Boy Now	1966	Drama	N/A	http://www.imdb.com/title/tt0061209/
1828	1150	82.60000034	Desert Bloom	1986	Drama	PG	http://www.imdb.com/title/tt0090934/
1829	1151	82.60000031	Countdown	1968	Drama	N/A	http://www.imdb.com/title/tt0062827/
1830	1152	82.6000003	D�ja Vu (U.S.-British)	1998	Drama	PG-13	http://www.imdb.com/title/tt0119033/
1831	1153	82.60000024	Working Girls	1986	Drama	N/A	http://www.imdb.com/title/tt0092238/
